"Kerncijfers wijken en buurten 2018"
""
"";"Topic"
"";"Regioaanduiding|Soort regio";"Regioaanduiding|Indelingswijziging wijken en buurten";"Bevolking|Aantal inwoners";"Bevolking|Geslacht|Mannen";"Bevolking|Geslacht|Vrouwen";"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"Bevolking|Bevolkingsdichtheid";"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"Inkomen|Inkomen van personen|Actieven 15-75 jaar";"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum";"Postcode|Meest voorkomende postcode";"Postcode|Dekkingspercentage"
"Buitenveldert-Oost";"Wijk";"1";"7865";"3725";"4140";"855";"690";"2505";"1565";"2260";"5133";"6000";"41,0";"33,8";"33,1";"29,0";"60,3";"48,5";"17,2";"8,5";"8,8";".";"."
"De Klenckebuurt";"Buurt";"1";"775";"345";"425";"80";"30";"235";"135";"305";"5863";"500";".";".";"20,3";"41,3";"61,0";"32,1";"22,3";"5,3";"5,1";"1083";"5"
"Buitenveldert Oost Midden";"Buurt";"1";"3215";"1520";"1690";"330";"250";"995";"680";"965";"11161";"2700";"36,4";"31,0";"37,3";"24,6";"56,7";"52,4";"13,9";"10,7";"12,1";"1083";"2"
"Buitenveldert Zuidoost";"Buurt";"1";"3865";"1845";"2015";"450";"415";"1270";"750";"990";"6351";"2800";"43,6";"35,1";"31,5";"31,1";"63,4";"47,9";"19,3";"7,1";"6,3";"1083";"2"
"Amstelpark";"Buurt";"1";"10";"5";"0";"0";"5";"5";"5";"5";"24";"0";".";".";".";".";".";".";".";".";".";"1083";"1"
"Amstel III/Bullewijk";"Wijk";"1";"710";"375";"335";"30";"380";"240";"55";"10";"143";"600";".";".";"66,2";"10,0";"44,8";"87,3";"3,3";"23,3";"15,5";".";"."
"Hoofdcentrum Zuidoost";"Buurt";"1";"15";"10";"0";"0";"0";"15";"0";"0";"47";"0";".";".";".";".";".";".";".";".";".";"1101";"1"
"Amstel III deel A/B Noord";"Buurt";"1";"105";"70";"35";"5";"10";"80";"15";"0";"138";"100";".";".";".";".";".";".";".";".";".";"1101";"1"
"Amstel III deel C/D Noord";"Buurt";"1";"50";"30";"15";"0";"10";"35";"5";"0";"55";"0";".";".";".";".";".";".";".";".";".";"1101";"1"
"Amstel III deel A/B Zuid";"Buurt";"1";"395";"165";"230";"5";"320";"65";"5";"0";"1131";"400";".";".";"81,8";"0,5";"30,1";"98,4";"0,3";"23,6";"16,4";"1105";"1"
"Amstel III deel C/D Zuid";"Buurt";"1";"5";"0";"0";"0";"0";"5";"5";"0";".";"0";".";".";".";".";".";".";".";".";".";"1105";"1"
"AMC";"Buurt";"1";"35";"30";"5";"0";"5";"20";"15";"0";"50";"0";".";".";".";".";".";".";".";".";".";"1105";"1"
"Hoge Dijk";"Buurt";"1";"100";"55";"40";"20";"40";"20";"15";"10";"69";"0";".";".";".";".";".";".";".";".";".";"1105";"1"
"Bijlmer Centrum (D,F,H)";"Wijk";"1";"24270";"12275";"11990";"4080";"4770";"7580";"6145";"1700";"8017";"18400";"23,2";"18,5";"53,8";"8,6";"54,5";"68,5";"5,4";"22,1";"20,5";".";"."
"Venserpolder West";"Buurt";"1";"5220";"2745";"2470";"805";"565";"1785";"1505";"570";"10478";"4100";"24,4";"19,9";"50,0";"8,9";"58,2";"67,5";"3,4";"21,8";"21,6";"1102";"1"
"Venserpolder Oost";"Buurt";"1";"3425";"1805";"1615";"505";"450";"1285";"965";"225";"10645";"2800";"25,2";"20,6";"46,1";"9,0";"62,4";"64,5";"5,1";"19,4";"18,7";"1102";"1"
"D-buurt";"Buurt";"1";"2025";"945";"1080";"135";"1240";"510";"115";"30";"7591";"1500";".";".";"77,0";"1,8";"36,6";"93,6";"0,6";"23,0";"16,7";"1102";"1"
"F-buurt";"Buurt";"1";"3790";"1850";"1940";"855";"675";"1115";"985";"170";"17126";"2800";"28,2";"21,1";"45,7";"17,7";"61,9";"44,2";"16,3";"12,6";"10,4";"1102";"1"
"Amsterdamse Poort";"Buurt";"1";"1550";"815";"735";"185";"350";"430";"430";"165";"3641";"1000";".";".";"62,6";"3,8";"43,4";"84,0";"1,2";"38,8";"38,3";"1102";"1"
"Hoptille";"Buurt";"1";"1625";"825";"800";"320";"360";"565";"330";"55";"7998";"1200";".";".";"59,8";"4,2";"49,8";"77,9";"2,4";"26,8";"20,7";"1102";"1"
"Rechte H-buurt";"Buurt";"1";"3110";"1525";"1585";"595";"520";"840";"920";"245";"15855";"2400";".";"16,9";"56,2";"6,3";"50,6";"66,5";"4,3";"23,3";"22,8";"1102";"1"
"Hakfort/Huigenbos";"Buurt";"1";"2550";"1275";"1275";"550";"475";"795";"625";"115";"9602";"1900";".";"15,0";"59,5";"3,6";"50,6";"73,1";"2,7";"27,8";"24,0";"1102";"1"
"Huntum";"Buurt";"1";"205";"100";"105";"25";"30";"50";"50";"55";"1851";"200";".";".";"31,4";"27,8";"54,6";".";".";".";".";"1102";"1"
"Vogeltjeswei";"Buurt";"1";"750";"380";"370";"120";"110";"220";"230";"80";"10874";"600";".";".";"44,7";"15,5";"60,7";"44,0";"23,1";"8,5";"12,8";"1102";"1"
"Nelson Mandelapark";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1102";"1"
"Bijlmer Oost (E,G,K)";"Wijk";"1";"28825";"14440";"14385";"4965";"4410";"8325";"7795";"3340";"7785";"22600";"25,7";"20,6";"48,0";"11,7";"57,1";"60,6";"9,3";"18,1";"19,0";".";"."
"E-buurt";"Buurt";"1";"2105";"1030";"1070";"505";"505";"670";"410";"25";"6873";"1400";".";".";"40,8";"20,6";"67,2";"43,3";"25,4";"11,1";"8,6";"1103";"1"
"G-buurt West";"Buurt";"1";"3760";"1875";"1885";"555";"570";"1195";"1115";"330";"9293";"3000";"28,2";"23,1";"41,7";"15,2";"63,4";"50,8";"13,8";"11,9";"12,0";"1103";"1"
"Bijlmermuseum Noord";"Buurt";"1";"2285";"1075";"1210";"370";"320";"510";"715";"380";"16158";"1800";".";".";"62,2";"3,9";"43,7";"75,9";"2,5";"25,4";"30,6";"1103";"1"
"Kortvoort";"Buurt";"1";"2620";"1255";"1365";"405";"330";"725";"705";"465";"12431";"2100";".";"17,8";"55,9";"5,1";"50,4";"74,9";"2,2";"22,8";"26,5";"1104";"1"
"Kelbergen";"Buurt";"1";"1000";"505";"495";"155";"165";"220";"305";"165";"4907";"800";".";".";"48,8";"8,7";"54,9";"53,5";"11,0";"13,6";"13,4";"1104";"1"
"K-buurt Midden";"Buurt";"1";"2360";"1225";"1135";"475";"375";"825";"550";"150";"14748";"1800";".";".";"51,5";"7,6";"57,4";"71,5";"3,0";"25,9";"24,0";"1104";"1"
"K-buurt Zuidoost";"Buurt";"1";"1035";"500";"535";"270";"165";"380";"195";"30";"5763";"700";".";".";"41,2";"18,6";"66,8";"42,3";"17,8";"12,0";"11,1";"1104";"1"
"K-buurt Zuidwest";"Buurt";"1";"1470";"725";"745";"350";"245";"420";"375";"85";"9528";"1100";".";".";"46,8";"14,7";"61,7";"43,6";"16,3";"12,9";"16,8";"1104";"1"
"Grunder/Koningshoef";"Buurt";"1";"1750";"835";"915";"375";"250";"580";"470";"80";"14558";"1300";".";".";"40,5";"16,9";"65,4";"44,1";"13,2";"12,0";"11,5";"1103";"4"
"G-buurt Oost";"Buurt";"1";"3130";"1690";"1440";"260";"415";"725";"850";"890";"3616";"2700";"32,4";"28,8";"36,5";"20,4";"55,4";"49,3";"14,5";"8,2";"9,0";"1103";"1"
"Kantershof";"Buurt";"1";"2205";"1140";"1060";"315";"250";"480";"705";"460";"4462";"1800";".";".";"46,2";"11,6";"53,7";"59,1";"9,4";"16,9";"22,3";"1104";"1"
"Gooisekant";"Buurt";"1";"140";"70";"70";"30";"20";"70";"30";"0";"1042";"100";".";".";"24,8";"27,5";"84,7";".";".";".";".";"1104";"1"
"G-buurt Noord";"Buurt";"1";"1820";"980";"840";"360";"220";"540";"610";"95";"22830";"1400";".";".";"60,3";"2,8";"48,2";"81,0";"1,8";"34,4";"31,9";"1103";"1"
"Bijlmermuseum Zuid";"Buurt";"1";"3115";"1510";"1605";"560";"595";"1005";"770";"195";"12957";"2400";".";"17,5";"54,6";"6,4";"56,7";"68,9";"3,9";"20,6";"19,9";"1104";"1"
"Nellestein";"Wijk";"1";"2935";"1525";"1405";"360";"225";"910";"810";"635";"1342";"2400";".";"28,6";"28,6";"22,0";"64,7";"44,9";"9,9";"7,2";"7,2";".";"."
"L-buurt";"Buurt";"1";"2870";"1495";"1375";"355";"215";"905";"780";"620";"4157";"2300";".";"28,5";"28,6";"21,9";"65,1";"45,3";"9,5";"7,3";"7,3";"1108";"1"
"Gaasperpark";"Buurt";"1";"25";"10";"10";"5";"5";"5";"15";"5";"35";"0";".";".";".";".";".";".";".";".";".";"1108";"1"
"Gaasperplas";"Buurt";"1";"35";"15";"15";"0";"10";"5";"15";"10";"49";"0";".";".";".";".";".";".";".";".";".";"1108";"1"
"Holendrecht/Reigersbos";"Wijk";"1";"18265";"8680";"9580";"3220";"2335";"4845";"5035";"2835";"7037";"14400";"25,1";"20,2";"47,7";"10,4";"53,8";"57,1";"8,7";"16,1";"16,8";".";"."
"Holendrecht West";"Buurt";"1";"2915";"1310";"1605";"675";"445";"630";"690";"480";"8330";"2200";".";"14,6";"63,1";"3,4";"40,1";"72,9";"2,2";"24,5";"30,1";"1106";"1"
"Reigersbos Noord";"Buurt";"1";"4365";"1965";"2400";"955";"630";"1160";"1160";"475";"11825";"3300";"21,6";"16,6";"55,4";"5,3";"52,2";"62,8";"5,7";"20,0";"20,2";"1106";"1"
"Holendrecht Oost";"Buurt";"1";"2480";"1230";"1250";"320";"265";"560";"695";"645";"3960";"2100";".";".";"37,3";"17,5";"54,3";"33,3";"18,6";"5,6";"6,3";"1106";"1"
"Gaasperdam Noord";"Buurt";"1";"2025";"1020";"1005";"325";"240";"680";"600";"190";"8498";"1600";".";".";"42,8";"13,0";"60,9";"56,7";"8,7";"17,2";"14,6";"1106";"1"
"Gaasperdam Zuid";"Buurt";"1";"1450";"700";"745";"195";"175";"425";"420";"240";"7903";"1200";".";".";"44,4";"10,4";"58,2";"64,2";"4,9";"13,7";"14,2";"1107";"1"
"Reigersbos Midden";"Buurt";"1";"2470";"1205";"1265";"365";"335";"710";"685";"380";"10059";"2000";".";".";"43,5";"11,0";"56,8";"57,6";"9,2";"14,6";"14,9";"1107";"1"
"Reigersbos Zuid";"Buurt";"1";"2545";"1240";"1305";"390";"255";"685";"790";"435";"4380";"2100";".";".";"39,4";"16,6";"59,0";"45,0";"14,8";"12,2";"10,6";"1107";"1"
"Gein";"Wijk";"1";"11385";"5615";"5765";"1820";"1375";"3100";"3650";"1445";"6210";"9100";"28,5";"23,1";"40,8";"14,8";"59,3";"47,0";"13,5";"13,6";"12,7";".";"."
"Gein Noordwest";"Buurt";"1";"2930";"1450";"1475";"525";"410";"875";"800";"325";"9605";"2300";".";"19,3";"49,2";"8,2";"55,7";"65,0";"4,5";"20,7";"20,1";"1106";"1"
"Gein Zuidwest";"Buurt";"1";"1690";"810";"880";"335";"220";"570";"475";"100";"9686";"1300";".";".";"48,6";"9,3";"56,2";"60,5";"6,2";"20,5";"17,8";"1107";"1"
"Gein Noordoost";"Buurt";"1";"3365";"1730";"1635";"460";"420";"715";"1270";"500";"5291";"2800";"34,1";"28,3";"30,3";"23,6";"64,0";"21,3";"30,8";"2,7";"2,4";"1106";"1"
"Gein Zuidoost";"Buurt";"1";"3395";"1620";"1770";"500";"330";"940";"1110";"520";"4733";"2800";"28,2";"23,2";"40,7";"13,9";"58,8";"44,6";"11,0";"12,7";"12,0";"1107";"1"
"Driemond";"Wijk";"1";"1545";"740";"805";"290";"165";"345";"500";"255";"883";"1200";".";".";"36,2";"23,6";"66,0";"32,5";"27,8";"4,4";"4,7";".";"."
"Dorp Driemond";"Buurt";"1";"1435";"685";"750";"255";"155";"315";"470";"250";"4941";"1200";".";".";"36,9";"22,8";"65,2";"33,7";"25,9";"4,5";"5,0";"1109";"1"
"Landelijk gebied Driemond";"Buurt";"1";"110";"55";"50";"35";"10";"30";"30";"10";"75";"100";".";".";".";".";".";".";".";".";".";"1109";"1"
"Bron: CBS"
